invoice_h_id,qty,unit_price_egp,discount_abs,line_total_after_disc,ship_to_address
300007,6,323.82,194.93,1747.99,Smohua 25 Mustafa Nahhas
300007,1,12.21,1.77,10.44,"Nasr 89, SMH zone"
300007,5,255.36,188.18,1088.62,
300007,5,143.48,151.48,565.92,"Horreya 24, SMH zone"
300012,2,557.94,120.88,995.00,
300012,4,118.12,71.85,400.63,"Faisal 13, ASH zone"
300012,5,308.39,130.60,1411.35,Ain Shams  119 Mustafa Nahhas
300012,1,301.14,18.44,282.70,blk 16 - ASH - square
300012,4,557.94,289.65,1942.11,"184 Tahrir st., near metro, ASH"
300012,6,66.61,36.45,363.21,"149 Salah Salem st., near gas station, ASH"
300012,4,154.74,33.33,585.63,
300016,4,173.54,85.65,608.51,MRG/119
300016,5,13.70,8.48,60.02,El arg 68 Autostrad
300016,4,25.06,10.68,89.56,El Marg 203 Gesih
300016,1,287.60,24.23,263.37,"Corniche 48, MRG zone"
300016,2,60.70,15.84,105.56,"Industrial Zone 219, MRG zone"
300016,2,16.51,5.11,27.91,MRG/171
300016,4,157.02,62.40,565.68,
300016,7,140.05,170.08,810.27,MRG/3
300021,7,458.22,315.57,2891.97,HLPL/169
300021,8,188.50,188.73,1319.27,blk 21 - HLPL - hospital
300030,5,23.50,41.73,75.77,"64 Autostrad st., near market, HLPL"
300030,4,41.09,46.70,117.66,Helioppolis 172 Horreya
300030,1,325.71,100.06,225.65,Heliopolis 75 Prt Said
300030,3,55.63,44.69,122.20,Heliopolis 2 3Corniche
300030,3,22.20,19.11,47.49,HLPL/147
300030,5,327.60,415.07,1222.93,"89 Corniche st., near mosque, HLPL"
300030,4,346.19,355.68,1029.08,HLPL/109
300030,6,134.24,205.53,599.91,blk 24 - HLPL - hospital
300030,2,64.90,33.58,96.22,Heliopolis 113  Tahrir
300030,5,120.95,133.41,471.34,HLPL/161
300030,5,7.84,10.30,28.90,Helioplois 103 Tahrir
300033,5,114.81,47.00,527.05,"Abbas 195, HLWN zone"
300033,3,8.51,1.83,23.70,
300033,4,140.84,75.65,487.71,blk 11 - HLWN - market
300033,3,229.20,91.94,595.66,blk 10 - HLWN - square
300033,6,202.13,64.76,1148.02,
300033,1,48.38,6.49,41.89,"Nile 52, HLWN zone"
300033,6,145.01,97.02,773.04,blk 14 - HLWN - hospital
300036,6,104.26,142.22,483.34,blk 21 - MAD - school
300036,2,72.85,26.27,119.43,MAD/164
300036,3,13.70,8.23,32.87,"138 Haram st., near school, MAD"
300036,2,30.00,7.29,52.71,MAD/150
300036,7,141.36,188.50,801.02,
300036,5,80.23,82.63,318.52,"236 Autostrad st., near bridge, MAD"
300036,5,135.04,142.24,532.96,
300036,2,506.43,185.06,827.80,Maadii 18 Abbas
300036,5,138.60,158.12,534.88,"116 Abbas st., near hospital, MAD"
300036,4,525.81,444.35,1658.89,MAD/29
300039,4,57.16,41.60,187.04,"Port Said 230, MAD zone"
300039,2,124.21,51.02,197.40,MAD/95
300039,9,129.21,134.39,1028.50,
300039,3,164.31,80.60,412.33,blk 17 - MAD - market
300039,5,123.29,134.45,482.00,MAD/134
300039,6,66.00,79.70,316.30,blk 3 - MAD - school
300039,4,43.70,32.91,141.89,Maadii 188 Horreya
300039,1,383.46,56.63,326.83,
300046,3,174.24,79.62,443.10,"82 Horreya st., near police st., MAD"
300046,3,250.32,64.18,686.78,
300046,6,25.42,28.62,123.90,
300047,4,142.03,59.01,509.11,Nasr City 22 Mustafaa Nahhas
300047,2,79.21,35.45,122.97,Nasr City 213H orreya
300047,3,479.91,259.65,1180.08,"Zayed 186, NSC zone"
300047,4,192.91,142.56,629.08,"159 Tahrir st., near police st., NSC"
300047,2,65.45,22.22,108.68,"56 Gamet Dewal st., near square, NSC"
300047,3,110.57,72.26,259.45,blk 16 - NSC - bridge
300047,8,193.52,199.08,1349.08,"Gamet Dewal 140, NSC zone"
300047,7,45.36,54.09,263.43,
300047,3,12.33,1.60,35.39,Nasr Ciy 106 Zayed
300056,3,118.59,49.35,306.42,
300056,3,62.34,21.24,165.78,blk 24 - NC - market
300056,5,93.31,55.44,411.11,New  Cairo 108 Geish
300056,3,31.61,14.81,80.02,"233 Corniche st., near school, NC"
300056,2,19.73,3.71,35.75,
300056,4,321.30,185.82,1099.38,blk 28 - NC - school
300056,2,11.64,3.58,19.70,New Cairo 08 Abbas
300056,3,31.48,18.60,75.84,New Cair 70 Horreya
